기간	자치구	동	다수업종 상위10	다수업종 상위10	다수업종 상위10	다수업종 상위10	다수업종 상위10	다수업종 상위10	다수업종 상위10	다수업종 상위10	다수업종 상위10	다수업종 상위10	다수업종 상위10	다수업종 상위10	다수업종 상위10	다수업종 상위10	다수업종 상위10	다수업종 상위10	다수업종 상위10	다수업종 상위10	다수업종 상위10	다수업종 상위10
기간	자치구	동	택시운송업	택시운송업	한식음식점업	한식음식점업	용달 및 개별화물 자동차운송업	용달 및 개별화물 자동차운송업	부동산자문 및 중개업	부동산자문 및 중개업	기타주점업	기타주점업	두발미용업	두발미용업	비알콜 음료점업	비알콜 음료점업	셔츠 및 기타 의복 소매점	셔츠 및 기타 의복 소매점	셔츠 및 외의 도매업	셔츠 및 외의 도매업	일반 교과 학원	일반 교과 학원
기간	자치구	동	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수
2016	합계	합계	49,101	87,979	47,134	164,893	36,977	40,250	22,776	42,602	18,279	40,560	17,346	35,005	16,137	54,377	13,762	32,886	13,551	48,825	9,460	38,067
2016	종로구	소계	215	215	2,441	9,408	629	696	567	1,057	738	2,141	268	491	1,098	3,679	351	763	435	865	94	353
2016	종로구	사직동	8	8	342	1,430	15	15	64	115	101	232	26	59	136	586	28	40	2	5	9	42
2016	종로구	삼청동	4	4	59	306	8	8	4	6	7	23	1	3	77	266	37	98	1	11	-	-
2016	종로구	부암동	19	19	29	96	15	15	15	18	13	32	9	13	33	80	7	9	1	1	12	46
2016	종로구	평창동	16	16	52	195	17	23	32	54	27	52	18	25	20	47	5	9	3	7	24	44
2016	종로구	무악동	11	11	9	23	350	352	10	17	1	2	11	14	5	13	-	-	-	-	13	58
2016	종로구	교남동	14	14	21	71	12	13	18	28	1	2	4	5	8	27	2	3	-	-	4	15
2016	종로구	가회동	9	9	77	316	8	11	17	28	11	23	8	9	51	135	6	13	1	1	3	26
2016	종로구	종로1.2.3.4가동	1	1	915	3,934	12	30	133	410	313	1,056	36	82	378	1,378	112	289	242	265	3	32
2016	종로구	종로5·6가동	5	5	287	946	18	29	78	110	42	87	19	28	80	165	43	92	78	217	-	-
2016	종로구	이화동	6	6	100	439	15	20	17	20	31	162	9	20	84	340	9	23	9	176	3	12
2016	종로구	창신1동	10	10	107	249	9	9	33	43	20	40	14	33	14	26	46	74	64	102	2	5
2016	종로구	창신2동	11	11	64	168	27	27	15	20	13	18	22	26	7	14	5	11	1	3	1	5
2016	종로구	창신3동	27	27	12	27	25	25	15	19	-	-	11	12	4	4	1	1	1	7	2	4
2016	종로구	숭인1동	14	14	21	57	19	19	15	18	7	15	14	29	2	3	3	4	8	16	4	15
2016	종로구	숭인2동	7	7	95	241	29	29	31	49	33	63	16	27	26	71	17	39	22	47	4	25
2016	종로구	청운효자동	23	23	72	225	16	37	29	36	14	24	15	26	62	154	12	17	1	1	4	11
2016	종로구	혜화동	30	30	179	685	34	34	41	66	104	310	35	80	111	370	18	41	1	6	6	13
2016	중구	소계	220	234	2,394	10,286	359	666	600	1,345	522	1,322	314	827	932	3,527	1,997	4,817	11,278	22,522	56	189
2016	중구	소공동	2	2	277	1,522	3	3	21	46	28	88	17	55	137	623	189	717	5	186	-	-
2016	중구	회현동	4	18	243	992	5	25	25	49	33	68	20	41	110	366	460	689	1,563	2,342	-	-
2016	중구	명동	-	-	433	2,686	1	1	100	425	67	297	61	318	252	1,276	168	1,006	10	283	3	11
2016	중구	필동	4	4	162	675	17	27	31	72	60	132	12	21	78	240	2	2	3	11	2	16
2016	중구	장충동	9	9	68	244	6	6	14	43	19	35	7	22	18	53	6	23	23	559	2	4
2016	중구	광희동	4	4	304	1,326	27	83	60	135	66	173	17	54	104	340	976	2,031	782	1,534	-	-
2016	중구	을지로동	-	-	247	784	4	11	48	63	55	132	8	13	81	205	58	93	472	855	-	-
2016	중구	신당5동	16	16	100	267	37	39	34	44	42	66	19	24	10	20	18	38	42	132	5	12
2016	중구	황학동	16	16	145	371	34	34	31	48	19	34	21	39	17	36	16	23	29	140	1	1
2016	중구	중림동	17	17	92	286	25	229	21	119	24	60	16	39	26	75	1	1	2	229	1	2
2016	중구	신당동	4	4	114	383	22	23	96	127	44	91	23	43	35	117	64	118	8,229	15,732	2	3
2016	중구	다산동	33	33	77	256	50	50	29	41	27	60	22	41	19	61	10	19	45	219	9	46
2016	중구	약수동	49	49	56	214	43	43	38	56	17	41	32	56	14	39	12	14	6	53	13	32
2016	중구	청구동	44	44	29	118	46	53	24	35	12	24	17	27	16	39	7	20	20	49	13	45
2016	중구	동화동	18	18	47	162	39	39	28	42	9	21	22	34	15	37	10	23	47	198	5	17
2016	용산구	소계	490	619	1,320	4,596	626	704	712	1,171	553	1,431	357	726	588	2,037	463	908	33	292	80	274
2016	용산구	후암동	50	50	54	175	52	52	40	52	14	24	26	31	22	62	9	12	2	27	9	19
2016	용산구	용산2가동	44	44	27	92	37	38	23	34	20	44	21	22	31	126	3	4	1	3	5	13
2016	용산구	남영동	3	3	179	640	14	14	25	110	53	113	16	24	51	240	41	130	3	70	4	20
2016	용산구	원효로2동	37	37	44	93	60	60	28	40	13	16	19	24	13	28	11	16	-	-	14	31
2016	용산구	효창동	35	35	22	52	43	43	15	28	2	4	6	8	16	31	-	-	1	4	7	24
2016	용산구	용문동	34	34	47	109	45	45	23	31	19	24	23	32	13	17	7	13	2	44	7	15
2016	용산구	이촌1동	15	15	54	182	10	10	53	85	22	63	30	108	24	122	25	36	-	-	7	32
2016	용산구	이촌2동	36	36	12	25	58	68	21	29	1	2	8	8	6	12	-	-	1	1	1	1
2016	용산구	이태원1동	11	11	93	451	10	10	20	36	129	485	18	48	45	223	211	323	2	18	1	1
2016	용산구	이태원2동	34	34	42	149	20	20	38	55	53	153	15	17	54	139	11	14	-	-	3	16
2016	용산구	서빙고동	24	153	20	97	33	33	15	18	1	1	9	17	7	21	3	3	2	8	3	18
2016	용산구	보광동	53	53	70	147	63	68	47	74	28	51	43	59	13	39	14	17	-	-	4	21
2016	용산구	청파동	44	44	119	349	73	75	61	88	47	87	44	133	72	189	18	26	1	1	4	20
2016	용산구	원효로1동	20	20	136	389	37	48	65	103	35	64	21	36	40	96	5	5	1	4	5	19
2016	용산구	한강로동	15	15	261	1,034	24	73	137	221	55	122	28	78	106	382	75	244	4	14	2	10
2016	용산구	한남동	35	35	140	612	47	47	101	167	61	178	30	81	75	310	30	65	13	98	4	14
2016	성동구	소계	1,159	2,745	1,495	4,499	1,301	1,467	705	1,225	416	882	454	788	445	1,475	165	407	107	1,530	195	894
2016	성동구	왕십리2동	35	35	39	87	66	68	33	54	14	19	27	47	5	15	4	5	2	8	6	33
2016	성동구	마장동	404	606	128	386	99	118	30	45	29	42	28	31	18	41	2	2	9	32	13	37
2016	성동구	사근동	24	24	128	591	38	39	32	39	58	232	22	60	68	292	6	10	-	-	-	-
2016	성동구	행당1동	37	37	106	381	56	56	40	70	16	34	37	113	40	189	45	122	3	10	19	108
2016	성동구	행당2동	48	48	15	61	52	52	29	48	4	6	21	38	13	29	2	2	-	-	27	98
2016	성동구	응봉동	43	43	7	16	59	71	14	17	6	12	14	16	8	19	3	3	-	-	12	28
2016	성동구	금호1가동	60	60	30	74	42	42	22	38	6	15	21	29	9	16	-	-	1	2	16	40
2016	성동구	금호4가동	40	40	46	97	26	30	32	50	20	28	21	38	9	22	7	9	-	-	10	31
2016	성동구	성수1가1동	64	67	62	183	72	76	47	78	12	34	21	26	15	64	6	30	12	340	17	50
2016	성동구	성수1가2동	62	957	132	409	97	172	46	81	22	40	26	39	57	150	6	76	7	133	11	33
2016	성동구	성수2가1동	66	66	155	353	105	114	44	67	49	79	29	40	36	130	18	25	11	353	6	86
2016	성동구	성수2가3동	38	329	218	682	296	330	70	240	30	69	15	23	63	207	6	8	36	538	5	171
2016	성동구	송정동	57	57	32	68	56	56	14	18	10	13	18	19	6	11	4	4	-	-	2	4
2016	성동구	용답동	46	241	116	325	57	57	38	53	39	75	30	43	22	54	21	53	14	70	8	33
2016	성동구	왕십리도선동	44	44	156	487	61	63	109	179	62	123	41	91	36	114	6	12	11	42	15	56
2016	성동구	금호2.3가동	56	56	83	166	83	84	50	64	30	42	56	74	22	49	22	35	-	-	16	34
2016	성동구	옥수동	35	35	42	133	36	39	55	84	9	19	27	61	18	73	7	11	1	2	12	52
2016	광진구	소계	1,159	2,115	1,697	5,366	1,194	1,387	827	1,319	884	2,046	712	1,279	546	1,888	381	815	85	571	289	1,016
2016	광진구	화양동	45	45	286	1,211	48	48	74	143	255	919	77	294	105	468	22	52	3	71	6	42
2016	광진구	군자동	64	290	106	311	70	72	48	74	64	109	49	69	49	161	13	20	8	81	10	41
2016	광진구	중곡1동	86	249	99	236	63	67	46	68	63	90	39	41	21	38	12	18	14	116	9	11
2016	광진구	중곡2동	81	81	94	270	87	90	60	82	44	77	56	69	19	41	12	23	8	32	22	61
2016	광진구	중곡3동	98	261	74	165	76	80	46	65	62	81	49	59	25	69	9	13	2	11	12	31
2016	광진구	중곡4동	147	317	89	198	140	154	41	61	38	65	55	72	26	58	35	51	8	50	25	115
2016	광진구	능동	26	26	54	295	25	25	29	49	25	57	12	12	21	95	4	5	9	70	3	3
2016	광진구	구의1동	53	53	150	401	67	197	82	126	87	206	54	72	38	80	20	25	3	5	14	49
2016	광진구	구의2동	117	351	99	240	113	114	39	55	25	44	38	45	23	68	9	30	4	7	15	31
2016	광진구	구의3동	52	52	134	502	56	58	68	115	51	82	52	137	43	206	71	165	7	36	67	196
2016	광진구	광장동	45	45	80	328	28	28	66	95	21	52	30	54	34	116	16	29	14	60	26	125
2016	광진구	자양1동	64	64	131	355	92	101	60	127	34	63	56	89	29	73	36	54	2	18	11	44
2016	광진구	자양2동	103	103	76	180	129	140	54	83	38	56	48	60	24	48	6	9	1	4	25	107
2016	광진구	자양3동	105	105	71	294	92	101	61	96	14	40	37	82	44	193	52	189	2	10	37	117
2016	광진구	자양4동	73	73	154	380	108	112	53	80	63	105	60	124	45	174	64	132	-	-	7	43
2016	동대문구	소계	1,634	2,479	1,987	5,573	1,769	1,852	742	1,062	744	1,361	602	912	509	1,491	439	920	232	1,318	247	820
2016	동대문구	회기동	21	21	120	416	22	22	20	38	69	174	27	83	67	231	28	40	-	-	7	8
2016	동대문구	휘경1동	44	44	79	229	43	46	30	47	28	69	31	56	26	113	6	12	2	153	8	25
2016	동대문구	휘경2동	120	120	38	82	470	473	36	48	11	18	22	30	17	27	4	7	4	107	9	39
2016	동대문구	청량리동	74	74	148	371	84	86	40	49	53	86	42	45	27	56	18	35	1	9	6	22
2016	동대문구	용신동	65	65	354	960	108	158	110	169	74	116	47	64	80	190	76	153	78	244	11	64
2016	동대문구	제기동	51	51	235	529	91	106	64	89	114	151	41	55	37	59	9	18	6	27	10	31
2016	동대문구	전농1동	103	103	156	559	116	121	59	73	52	94	62	100	46	166	118	273	7	21	16	28
2016	동대문구	전농2동	79	79	25	77	77	77	18	24	18	35	31	47	19	60	5	7	2	14	23	64
2016	동대문구	답십리1동	323	323	108	349	97	97	70	98	39	71	30	53	26	102	21	48	10	36	18	87
2016	동대문구	답십리2동	178	178	81	225	142	142	42	53	29	59	39	48	10	19	15	26	6	74	23	78
2016	동대문구	장안1동	189	601	263	727	188	192	101	156	80	162	77	97	44	133	27	51	75	534	19	53
2016	동대문구	장안2동	219	523	218	661	164	165	64	84	76	144	78	124	40	144	94	228	40	98	64	243
2016	동대문구	이문1동	57	57	132	332	86	86	56	86	78	147	57	89	59	173	13	17	1	1	15	32
2016	동대문구	이문2동	111	240	30	56	81	81	32	48	23	35	18	21	11	18	5	5	-	-	18	46
2016	중랑구	소계	3,487	6,874	1,799	4,547	2,538	2,732	692	991	782	1,327	749	1,073	322	891	389	672	62	244	251	940
2016	중랑구	면목2동	157	439	127	275	179	186	48	66	43	73	59	64	16	25	19	27	9	36	21	62
2016	중랑구	면목4동	115	115	52	103	117	121	43	56	27	44	31	33	9	31	6	11	1	2	23	62
2016	중랑구	면목5동	58	474	45	79	90	94	13	16	15	21	20	21	3	12	9	13	1	2	1	2
2016	중랑구	면목7동	129	284	104	268	108	108	42	57	40	50	50	75	19	41	28	51	11	27	11	64
2016	중랑구	상봉1동	149	1,140	33	97	112	116	24	43	15	26	36	63	28	101	48	134	5	13	12	26
2016	중랑구	상봉2동	67	67	246	686	69	71	61	105	105	194	39	88	34	130	37	79	5	29	1	1
2016	중랑구	중화1동	132	132	42	111	113	116	32	43	11	17	39	58	12	19	10	12	3	13	23	91
2016	중랑구	중화2동	123	260	183	402	159	167	38	66	110	169	61	72	21	47	32	39	8	51	3	8
2016	중랑구	묵1동	168	168	107	333	135	135	52	69	38	60	51	78	28	88	14	21	3	27	17	54
2016	중랑구	묵2동	123	123	103	255	445	450	44	54	49	97	44	53	16	31	14	22	2	7	8	25
2016	중랑구	망우3동	111	308	59	149	107	128	26	37	28	41	38	44	10	18	7	10	1	2	9	20
2016	중랑구	신내1동	377	947	113	388	235	241	40	57	38	76	48	66	25	76	17	28	2	6	38	142
2016	중랑구	신내2동	214	214	43	144	107	107	28	43	15	32	28	64	14	55	38	49	-	-	35	163
2016	중랑구	면목본동	149	149	170	425	196	222	84	112	86	160	74	90	20	49	29	47	4	4	16	51
2016	중랑구	면목3.8동	178	294	162	356	139	216	52	72	85	151	61	97	29	66	38	68	4	13	16	41
2016	중랑구	망우본동	1,237	1,760	210	476	227	254	65	95	77	116	70	107	38	102	43	61	3	12	17	128
2016	성북구	소계	1,879	3,148	1,631	4,832	1,556	1,654	764	1,090	737	1,495	745	1,315	525	1,543	463	1,033	80	416	352	1,226
2016	성북구	돈암1동	52	52	9	52	53	53	18	25	3	5	11	13	8	21	4	4	-	-	13	165
2016	성북구	돈암2동	54	54	8	22	36	36	23	25	1	1	13	15	7	9	4	4	1	1	19	44
2016	성북구	안암동	37	37	132	486	47	47	34	48	78	216	38	107	81	302	15	25	19	71	7	16
2016	성북구	보문동	188	188	75	171	51	52	38	50	33	53	34	42	10	18	7	138	16	69	7	39
2016	성북구	정릉1동	96	96	50	130	45	45	27	42	15	26	27	32	7	24	3	3	-	-	17	34
2016	성북구	정릉2동	132	293	54	157	105	111	36	46	12	15	28	36	17	39	10	11	1	2	15	53
2016	성북구	정릉3동	93	93	68	162	47	50	14	19	22	39	21	25	13	46	5	27	-	-	3	10
